Id;Label;Size;Age
0;ms;0.231884651255509;1949.61358734447
1;oral;0.0487448473241683;1968.90254500310
2;christ;0.20145627611935;1961.80415595431
3;spenser;0.098205195748286;1954.24195302305
4;sonnet;0.0559034180306277;1967.3341080582
5;academy;0.0481770740632631;1954.06579725137
6;shaw;0.190410505407195;1964.36684084090
7;carlyle;0.057571140743694;1955.30652940085
8;people;0.290609137055838;1967.92191796763
9;der;0.335096574849958;1948.24544276366
10;state;0.0675970554103986;1960.86847994945
11;novel;0.154140651141598;1964.33319861899
12;greek;0.0883679455507223;1963.82380309775
13;ship;0.101640312969436;1953.88008265331
14;elizabethan;0.129890147443062;1946.87087889501
15;reality;0.116459373064409;1958.40516872478
16;la;0.108588860964965;1949.05646615309
17;god;0.191658182698400;1959.31214130495
18;new;0.396102832814803;1991.42520265291
19;word;0.147099550764981;1961.59650078043
20;tennyson;0.0596464499042439;1968.50310336596
21;letter;0.248209467396644;1952.10108637195
22;modern;0.0936149536170182;1959.69454531627
23;version;0.165229138337332;1955.61644027447
24;examples;0.121850549262785;1953.47429923606
25;catholic;0.0585287019172582;1963.99756720594
26;ideas;0.244841984607827;1959.52181909380
27;di;0.165558411231587;1952.76177729042
28;book;0.140834466506717;1963.55290861526
29;play;0.0701849623738974;1946.38302944235
30;english;0.122400523988865;1959.72861712956
31;renaissance;0.115653099436854;1961.59108327306
32;land;0.121398466478240;1961.65421437682
33;romantic;0.0896814774207787;1958.71520431857
34;vnd;0.0601394693188857;1948.88383793542
35;swift;0.0633788026569653;1954.97186104636
36;hawthorne;0.086194744448637;1960.13023457504
37;history;0.111675126903553;1972.05839602193
38;que;0.0434213055581265;1947.54135923922
39;ch;0.121072753290949;1956.62319181465
40;story;0.271883298566862;1958.17269370761
41;metaphor;0.0661429151152277;1971.5775254292
42;painting;0.102980542641730;1964.61421732142
43;dryden;0.095241739699988;1956.01252079012
44;essex;0.078875986928756;1952.92645996931
45;nietzsche;0.0502559429307779;1970.07217736223
46;great;0.542682666362905;1959.77689625881
47;spanish;0.1042317796399;1961.71968170486
48;gothic;0.0605434960594044;1959.48768226717
49;language;0.0608514107118702;1970.74582468045
50;political;0.115192117384897;1964.27921817058
51;years;0.398361466884046;1958.50503759768
52;eliot;0.0490705605114587;1970.73572723975
53;pe;0.0891137041598736;1937.01010625549
54;time;0.0631367425833505;1964.38739322865
55;human;0.293528096767074;1973.04441021847
56;knight;0.0935882558147813;1951.26434901677
57;thy;0.179325577918426;1952.8197770786
58;death;0.268398345448203;1966.41572169392
59;narrative;0.131858665394665;1974.4106014794
60;et;0.962583920091698;1950.66398001561
61;rhetoric;0.182415403563979;1980.05910878241
62;criticism;0.139754095442863;1963.47212175242
63;dutch;0.0655199663963662;1941.41250135825
64;social;0.144144993984095;1974.06068875252
65;moral;0.293779056108101;1959.77483066558
66;articles;0.132330326567517;1970.35613121898
67;law;0.130096610447028;1967.56887022191
